C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）,predicted_AMPS ratio (mol%)_random_forest,abs_error_AMPS ratio (mol%)_random_forest,predicted_conversion（%）_random_forest,abs_error_conversion（%）_random_forest,predicted_AMPS ratio (mol%)_decision_tree,abs_error_AMPS ratio (mol%)_decision_tree,predicted_conversion（%）_decision_tree,abs_error_conversion（%）_decision_tree,predicted_AMPS ratio (mol%)_gbt,abs_error_AMPS ratio (mol%)_gbt,predicted_conversion（%）_gbt,abs_error_conversion（%）_gbt,predicted_AMPS ratio (mol%)_xgb,abs_error_AMPS ratio (mol%)_xgb,predicted_conversion（%）_xgb,abs_error_conversion（%）_xgb,predicted_AMPS ratio (mol%)_svr,abs_error_AMPS ratio (mol%)_svr,predicted_conversion（%）_svr,abs_error_conversion（%）_svr,predicted_AMPS ratio (mol%)_linear_regression,abs_error_AMPS ratio (mol%)_linear_regression,predicted_conversion（%）_linear_regression,abs_error_conversion（%）_linear_regression
0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,7.9,71.0,8.234,-0.334,72.78,-1.78,7.9,0.0,71.0,0.0,8.086,-0.186,71.679,-0.679,7.882,0.018,70.971,0.029,9.591,-1.691,79.611,-8.611,7.689,0.211,81.887,-10.887
0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,9.0,80.0,9.136,-0.136,79.424,0.576,9.0,0.0,80.0,0.0,9.505,-0.505,79.851,0.149,9.161,-0.161,79.902,0.098,9.266,-0.266,79.9,0.1,7.807,1.193,82.367,-2.367
0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,10.0,100.0,9.834,0.166,92.95,7.05,10.0,0.0,100.0,0.0,10.141,-0.141,97.053,2.947,10.099,-0.099,99.624,0.376,11.779,-1.779,97.798,2.202,8.04,1.96,85.192,14.808
0.0,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,7.1,71.5,8.218,-1.118,80.626,-9.126,7.1,0.0,71.5,0.0,8.771,-1.671,77.632,-6.132,7.485,-0.385,73.175,-1.675,9.793,-2.693,90.229,-18.729,8.746,-1.646,87.777,-16.277
9.1324200913242e-05,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,10.0,99.0,9.9,0.1,98.354,0.646,10.0,0.0,99.0,0.0,9.969,0.031,97.295,1.705,10.069,-0.069,98.695,0.305,10.13,-0.13,98.9,0.1,8.81,1.19,90.631,8.369
0.0009132420091324201,0.0,0.0091324200913242,2.19,20,10,0.5,7.8,79.0,8.464,-0.664,80.902,-1.902,7.8,0.0,79.0,0.0,8.736,-0.936,81.881,-2.881,7.972,-0.172,79.602,-0.602,10.111,-2.311,88.714,-9.714,7.808,-0.008,82.313,-3.313
0.0091324200913242,9.1324200913242e-05,0.091324200913242,2.19,0,10,1.0,10.0,94.0,9.664,0.336,92.87,1.13,10.0,0.0,94.0,0.0,9.925,0.075,92.85,1.15,9.884,0.116,93.925,0.075,9.9,0.1,94.1,-0.1,6.401,3.599,73.634,20.366
0.091324200913242,0.0009132420091324201,0.0,2.19,5,10,1.5,10.0,98.7,9.742,0.258,92.93,5.77,10.0,0.0,98.7,0.0,9.517,0.483,96.915,1.785,9.864,0.136,98.05,0.65,10.563,-0.563,97.684,1.016,9.961,0.039,96.365,2.335
9.15750915750916e-05,0.000915750915750916,0.00915750915750916,2.73,0,10,2.0,10.0,92.0,9.51,0.49,89.112,2.888,10.0,0.0,87.0,5.0,9.395,0.605,91.527,0.473,9.534,0.466,91.858,0.142,10.732,-0.732,93.602,-1.602,9.193,0.807,90.432,1.568
0.09157509157509161,0.0,9.15750915750916e-05,2.73,15,10,1.0,10.0,98.0,9.38,0.62,94.476,3.524,10.0,0.0,96.0,2.0,9.34,0.66,85.769,12.231,9.729,0.271,94.932,3.068,10.616,-0.616,99.331,-1.331,10.267,-0.267,97.991,0.009
0.0,0.0914634146341463,0.00914634146341463,3.28,5,10,1.0,10.0,97.5,9.768,0.232,96.982,0.518,10.0,0.0,97.5,0.0,9.876,0.124,97.84,-0.34,9.982,0.018,97.342,0.158,10.066,-0.066,98.197,-0.697,10.327,-0.327,99.265,-1.765
