,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）
136,0.0020661157024793398,0.008264462809917359,0.0,1.21,5,100,2.0,100.0,99.9
110,0.0456919060052219,0.0,0.000913838120104439,3.83,5,10,2.0,10.0,96.0
139,0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,5.0,50.0,96.8
100,0.0009132420091324201,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,10.0,96.0
11,0.00914634146341463,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,10.0,93.0
119,0.0007779999999999999,0.0006224000000000001,0.00031120000000000003,3.2133676092545,10,5,0.2,5.0,96.6
80,0.000138888888888889,0.138888888888889,0.00138888888888889,1.44,15,50,0.0,50.0,100.0
66,0.125,0.0,0.000125,2.0,15,40,1.0,40.0,98.0
63,0.125,0.00125,0.0,1.6,5,40,1.5,40.0,99.4
51,0.0,0.00111821086261981,0.11182108626198099,3.13,15,30,0.5,20.0,50.0
149,0.00833333333333333,0.005,0.0,1.8,5,50,2.0,50.0,95.6
147,0.00277777777777778,0.00416666666666667,0.0111111111111111,1.8,5,50,5.0,50.0,94.6
36,0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,10,30,1.0,28.0,85.0
131,0.0028735632183908002,0.0,0.0,1.74,5,75,0.2,75.0,97.8
148,0.00833333333333333,0.0034722222222222203,0.00555555555555556,1.8,5,50,2.0,50.0,98.1
107,0.0457317073170732,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,10.0,96.0
158,0.0075,0.003125,0.0,2.0,5,40,0.5,40.0,94.3
68,0.00125,0.000125,0.0,2.4,15,40,2.0,40.0,98.0
73,0.00125,0.125,0.000125,2.8,0,40,1.5,40.0,97.0
10,0.0,0.0914634146341463,0.00914634146341463,3.28,5,10,1.0,10.0,97.5
76,0.00138888888888889,0.00138888888888889,0.00138888888888889,1.08,10,50,1.0,40.0,47.1
1,0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,9.0,80.0
104,0.045787545787545805,0.09157509157509161,0.0,2.73,10,10,0.5,10.0,97.0
84,0.000138888888888889,0.00138888888888889,0.0138888888888889,1.8,0,50,2.0,47.0,84.8
99,9.1324200913242e-05,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,10.0,93.7
41,0.00111731843575419,0.0,0.0111731843575419,1.79,20,30,0.5,28.0,85.1
30,0.009803921568627449,0.000980392156862745,9.80392156862745e-05,3.06,20,20,0.0,20.0,94.0
115,0.00020999999999999998,0.00041999999999999996,0.00041999999999999996,2.38095238095238,15,25,0.2,25.0,96.8
93,0.00138888888888889,0.138888888888889,0.000138888888888889,2.52,0,50,1.5,50.0,96.2
