C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),[η] (mL/g),predicted[η] (mL/g)_DECISION_TREE,absolute_error_DECISION_TREE,relative_error(%)_DECISION_TREE,predicted[η] (mL/g)_SVR,absolute_error_SVR,relative_error(%)_SVR,predicted[η] (mL/g)_XGB,absolute_error_XGB,relative_error(%)_XGB,predicted[η] (mL/g)_RANDOM_FOREST,absolute_error_RANDOM_FOREST,relative_error(%)_RANDOM_FOREST,predicted[η] (mL/g)_GBT,absolute_error_GBT,relative_error(%)_GBT,predicted[η] (mL/g)_LINEAR_REGRESSION,absolute_error_LINEAR_REGRESSION,relative_error(%)_LINEAR_REGRESSION
0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,1120.0,1120.0,0.0,0.0,1451.18,-331.18,-29.57,1184.15,-64.15,-5.73,1360.93,-240.93,-21.51,1338.51,-218.51,-19.51,1805.04,-685.04,-61.16
0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,1385.0,1385.0,0.0,0.0,1503.8,-118.8,-8.58,1387.02,-2.02,-0.15,1411.0,-26.0,-1.88,1443.35,-58.35,-4.21,1623.56,-238.56,-17.22
0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,240.0,240.0,0.0,0.0,265.34,-25.34,-10.56,240.57,-0.57,-0.24,240.72,-0.72,-0.3,244.14,-4.14,-1.72,308.5,-68.5,-28.54
0.0,0.0091324200913242,9.1324200913242e-05,2.19,10,10,2.0,927.0,927.0,0.0,0.0,1749.3,-822.3,-88.71,1011.75,-84.75,-9.14,1421.11,-494.11,-53.3,1263.78,-336.78,-36.33,1851.38,-924.38,-99.72
9.1324200913242e-05,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,947.0,947.0,0.0,0.0,1784.2,-837.2,-88.41,1032.17,-85.17,-8.99,1372.82,-425.82,-44.97,1289.77,-342.77,-36.2,1774.67,-827.67,-87.4
0.0009132420091324201,0.0,0.0091324200913242,2.19,20,10,0.5,1897.0,1897.0,0.0,0.0,1716.24,180.76,9.53,1878.86,18.14,0.96,1719.93,177.07,9.33,1758.35,138.65,7.31,1534.24,362.76,19.12
0.0091324200913242,9.1324200913242e-05,0.091324200913242,2.19,0,10,1.0,687.0,687.0,0.0,0.0,759.28,-72.28,-10.52,691.83,-4.83,-0.7,724.97,-37.97,-5.53,684.88,2.12,0.31,680.36,6.64,0.97
0.091324200913242,0.0009132420091324201,0.0,2.19,5,10,1.5,239.0,239.0,0.0,0.0,235.66,3.34,1.4,235.72,3.28,1.37,251.65,-12.65,-5.29,243.67,-4.67,-1.95,452.75,-213.75,-89.44
9.15750915750916e-05,0.000915750915750916,0.00915750915750916,2.73,0,10,2.0,1183.0,1183.0,0.0,0.0,1070.13,112.87,9.54,1168.03,14.97,1.27,1184.14,-1.14,-0.1,1106.1,76.9,6.5,1480.33,-297.33,-25.13
0.09157509157509161,0.0,9.15750915750916e-05,2.73,15,10,1.0,832.0,343.0,489.0,58.77,357.79,474.21,57.0,347.71,484.29,58.21,319.31,512.69,61.62,304.3,527.7,63.43,409.57,422.43,50.77
0.0,0.0914634146341463,0.00914634146341463,3.28,5,10,1.0,1146.0,1146.0,0.0,0.0,1384.49,-238.49,-20.81,1120.7,25.3,2.21,1180.23,-34.23,-2.99,1140.76,5.24,0.46,1440.4,-294.4,-25.69
0.00914634146341463,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,1119.0,1119.0,0.0,0.0,1411.9,-292.9,-26.18,1160.23,-41.23,-3.68,1166.51,-47.51,-4.25,1370.36,-251.36,-22.46,1157.41,-38.41,-3.43
0.0914634146341463,0.00914634146341463,0.000914634146341463,3.28,0,10,0.5,490.0,239.0,251.0,51.22,226.43,263.57,53.79,188.03,301.97,61.63,212.68,277.32,56.6,200.35,289.65,59.11,335.88,154.12,31.45
0.0,0.000913838120104439,0.0913838120104439,3.83,15,10,0.5,369.0,369.0,0.0,0.0,407.72,-38.72,-10.49,372.64,-3.64,-0.99,400.84,-31.84,-8.63,349.46,19.54,5.3,597.14,-228.14,-61.83
0.000913838120104439,0.0913838120104439,9.13838120104439e-05,3.83,0,10,1.5,2074.0,2074.0,0.0,0.0,1876.59,197.41,9.52,2088.74,-14.74,-0.71,1891.5,182.5,8.8,2034.21,39.79,1.92,1418.51,655.49,31.61
0.00913838120104439,0.0,0.000913838120104439,3.83,5,10,2.0,1102.0,1314.0,-212.0,-19.24,983.97,118.03,10.71,648.66,453.34,41.14,1178.95,-76.95,-6.98,1079.94,22.06,2.0,1167.18,-65.18,-5.91
0.0913838120104439,9.13838120104439e-05,0.00913838120104439,3.83,10,10,0.0,349.0,300.0,49.0,14.04,302.65,46.35,13.28,297.16,51.84,14.85,293.04,55.96,16.03,256.49,92.51,26.51,282.37,66.63,19.09
0.000980392156862745,0.000980392156862745,0.000980392156862745,1.53,10,20,1.0,2666.0,2666.0,0.0,0.0,1628.9,1037.1,38.9,2530.8,135.2,5.07,2349.28,316.72,11.88,2249.24,416.76,15.63,1772.79,893.21,33.5
0.009803921568627449,0.009803921568627449,0.009803921568627449,1.53,15,20,1.5,1200.0,1600.0,-400.0,-33.33,1580.88,-380.88,-31.74,1840.6,-640.6,-53.38,1471.58,-271.58,-22.63,1676.44,-476.44,-39.7,1574.88,-374.88,-31.24
0.0980392156862745,0.0980392156862745,0.0980392156862745,1.53,20,20,2.0,189.0,251.0,-62.0,-32.8,242.78,-53.78,-28.46,264.74,-75.74,-40.07,246.99,-57.99,-30.68,268.45,-79.45,-42.04,264.3,-75.3,-39.84
0.0,0.009803921568627449,9.80392156862745e-05,2.04,10,20,2.0,3238.0,3238.0,0.0,0.0,2009.56,1228.44,37.94,3021.24,216.76,6.69,2182.68,1055.32,32.59,2577.08,660.92,20.41,1835.3,1402.7,43.32
9.80392156862745e-05,0.0980392156862745,0.000980392156862745,2.04,15,20,0.0,2174.0,2174.0,0.0,0.0,1926.46,247.54,11.39,2156.07,17.93,0.82,1939.15,234.85,10.8,2029.69,144.31,6.64,1774.06,399.94,18.4
0.000980392156862745,0.0,0.009803921568627449,2.04,20,20,0.5,1700.0,1700.0,0.0,0.0,1739.91,-39.91,-2.35,1719.64,-19.64,-1.16,1710.65,-10.65,-0.63,1711.55,-11.55,-0.68,1509.96,190.04,11.18
0.009803921568627449,9.80392156862745e-05,0.0980392156862745,2.04,0,20,1.0,726.0,726.0,0.0,0.0,768.73,-42.73,-5.89,730.13,-4.13,-0.57,732.52,-6.52,-0.9,750.37,-24.37,-3.36,632.77,93.23,12.84
0.0980392156862745,0.000980392156862745,0.0,2.04,5,20,1.5,209.0,239.0,-30.0,-14.35,238.11,-29.11,-13.93,180.67,28.33,13.56,259.81,-50.81,-24.31,263.17,-54.17,-25.92,406.66,-197.66,-94.57
9.80392156862745e-05,0.000980392156862745,0.009803921568627449,2.55,0,20,2.0,996.0,996.0,0.0,0.0,1166.01,-170.01,-17.07,1036.05,-40.05,-4.02,1166.15,-170.15,-17.08,1242.03,-246.03,-24.7,1466.27,-470.27,-47.22
0.009803921568627449,0.0980392156862745,0.0,2.55,10,20,0.5,1713.0,1713.0,0.0,0.0,1394.72,318.28,18.58,1701.54,11.46,0.67,1602.67,110.33,6.44,1763.76,-50.76,-2.96,1452.35,260.65,15.22
0.0980392156862745,0.0,9.80392156862745e-05,2.55,15,20,1.0,343.0,343.0,0.0,0.0,328.47,14.53,4.24,342.86,0.14,0.04,309.01,33.99,9.91,342.33,0.67,0.2,371.1,-28.1,-8.19
0.0,0.0980392156862745,0.009803921568627449,3.06,5,20,1.0,1292.0,1292.0,0.0,0.0,1534.18,-242.18,-18.74,1327.69,-35.69,-2.76,1286.86,5.14,0.4,1407.43,-115.43,-8.93,1450.65,-158.65,-12.28
0.000980392156862745,9.80392156862745e-05,0.0,3.06,15,20,2.0,2487.0,2606.0,-119.0,-4.78,1937.04,549.96,22.11,2642.23,-155.23,-6.24,1981.95,505.05,20.31,2205.49,281.51,11.32,1527.38,959.62,38.59
0.009803921568627449,0.000980392156862745,9.80392156862745e-05,3.06,20,20,0.0,2202.0,2234.0,-32.0,-1.45,1510.35,691.65,31.41,1386.76,815.24,37.02,1239.97,962.03,43.69,1462.6,739.4,33.58,1149.35,1052.65,47.8
0.0980392156862745,0.009803921568627449,0.000980392156862745,3.06,0,20,0.5,258.0,239.0,19.0,7.36,205.91,52.09,20.19,210.71,47.29,18.33,214.61,43.39,16.82,215.91,42.09,16.31,306.12,-48.12,-18.65
0.0,0.000980392156862745,0.0980392156862745,3.57,15,20,0.5,408.0,408.0,0.0,0.0,426.42,-18.42,-4.51,406.15,1.85,0.45,405.52,2.48,0.61,419.37,-11.37,-2.79,572.02,-164.02,-40.2
0.000980392156862745,0.0980392156862745,9.80392156862745e-05,3.57,0,20,1.5,2606.0,2606.0,0.0,0.0,2040.56,565.44,21.7,2576.86,29.14,1.12,2390.76,215.24,8.26,2415.68,190.32,7.3,1444.8,1161.2,44.56
0.009803921568627449,0.0,0.000980392156862745,3.57,5,20,2.0,1595.0,1595.0,0.0,0.0,1146.33,448.67,28.13,1580.82,14.18,0.89,1530.26,64.74,4.06,1527.1,67.9,4.26,1166.36,428.64,26.87
0.0980392156862745,9.80392156862745e-05,0.009803921568627449,3.57,10,20,0.0,300.0,300.0,0.0,0.0,271.42,28.58,9.53,300.21,-0.21,-0.07,298.4,1.6,0.53,306.39,-6.39,-2.13,257.38,42.62,14.21
0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,10,30,1.0,1500.0,1500.0,0.0,0.0,1712.86,-212.86,-14.19,1566.89,-66.89,-4.46,1659.67,-159.67,-10.64,1608.93,-108.93,-7.26,1762.87,-262.87,-17.52
0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,15,30,1.5,1200.0,1200.0,0.0,0.0,1533.3,-333.3,-27.78,1209.83,-9.83,-0.82,1272.14,-72.14,-6.01,1233.11,-33.11,-2.76,1525.49,-325.49,-27.12
0.11194029850746301,0.11194029850746301,0.11194029850746301,1.34,20,30,2.0,251.0,251.0,0.0,0.0,227.22,23.78,9.47,248.73,2.27,0.9,233.14,17.86,7.12,242.78,8.22,3.27,196.9,54.1,21.55
0.0,0.0111731843575419,0.00011173184357541901,1.79,10,30,2.0,1552.0,1552.0,0.0,0.0,2147.92,-595.92,-38.4,1658.64,-106.64,-6.87,1772.19,-220.19,-14.19,1855.26,-303.26,-19.54,1853.17,-301.17,-19.41
0.00011173184357541901,0.11173184357541902,0.00111731843575419,1.79,15,30,0.0,2199.0,2199.0,0.0,0.0,1924.55,274.45,12.48,2159.8,39.2,1.78,2020.12,178.88,8.13,1940.19,258.81,11.77,1822.24,376.76,17.13
