,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),[η] (mL/g)
84,0.000138888888888889,0.00138888888888889,0.0138888888888889,1.8,0,50,2.0,1120.0
2,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,240.0
94,0.0138888888888889,0.0,0.00138888888888889,2.52,5,50,2.0,1684.0
45,0.0112107623318386,0.112107623318386,0.0,2.23,10,30,0.5,1337.0
42,0.0111731843575419,0.00011173184357541901,0.11173184357541902,1.79,0,30,1.0,806.0
69,0.0125,0.00125,0.000125,2.4,20,40,0.0,1393.0
154,0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,0.5,2069.0
26,0.009803921568627449,0.0980392156862745,0.0,2.55,10,20,0.5,1713.0
141,0.00555555555555556,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1868.0
117,0.00041999999999999996,0.0008399999999999999,0.00020999999999999998,2.38095238095238,20,25,0.2,1815.88599287845
93,0.00138888888888889,0.138888888888889,0.000138888888888889,2.52,0,50,1.5,1447.0
133,0.000295714285714286,0.00118285714285714,0.0,1.69082125603865,5,100,0.2,748.045530007381
36,0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,10,30,1.0,1500.0
82,0.0138888888888889,0.000138888888888889,0.138888888888889,1.44,0,50,1.0,600.0
22,0.000980392156862745,0.0,0.009803921568627449,2.04,20,20,0.5,1700.0
126,0.00025433333333333303,0.000508666666666667,0.0,1.96592398427261,15,60,0.2,997.022933441407
67,0.0,0.125,0.0125,2.4,5,40,1.0,1482.0
97,0.00914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,1314.0
11,0.00914634146341463,0.000914634146341463,9.14634146341463e-05,3.28,20,10,0.0,1119.0
65,0.0125,0.125,0.0,2.0,10,40,0.5,1510.0
86,0.138888888888889,0.0,0.000138888888888889,1.8,15,50,1.0,362.0
6,0.0091324200913242,9.1324200913242e-05,0.091324200913242,2.19,0,10,1.0,687.0
27,0.0980392156862745,0.0,9.80392156862745e-05,2.55,15,20,1.0,343.0
76,0.00138888888888889,0.00138888888888889,0.00138888888888889,1.08,10,50,1.0,1990.0
142,0.00833333333333333,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1656.0
38,0.11194029850746301,0.11194029850746301,0.11194029850746301,1.34,20,30,2.0,251.0
41,0.00111731843575419,0.0,0.0111731843575419,1.79,20,30,0.5,1769.0
4,9.1324200913242e-05,0.091324200913242,0.0009132420091324201,2.19,15,10,0.0,947.0
138,0.00138888888888889,0.009722222222222219,0.0,1.8,5,50,5.0,1797.0
32,0.0,0.000980392156862745,0.0980392156862745,3.57,15,20,0.5,408.0
144,0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,3.0,1734.0
109,0.0009138,0.00913838120104439,0.0,3.83,20,10,1.0,2432.0
68,0.00125,0.000125,0.0,2.4,15,40,2.0,2234.0
10,0.0,0.0914634146341463,0.00914634146341463,3.28,5,10,1.0,1146.0
96,0.000914634146341463,9.14634146341463e-05,9.14634146341463e-05,1.64,5,10,0.5,1200.0
111,0.0103448275862069,0.00431034482758621,0.0,1.45,5,75,5.0,1200.0
0,0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,1120.0
122,0.000299666666666667,0.000599333333333333,0.0,1.66852057842047,15,80,0.2,1318.63182712561
123,0.00119866666666667,0.0,0.0,1.66852057842047,15,80,0.2,1020.11050680825
64,0.000125,0.00125,0.0125,2.0,0,40,2.0,1100.0
44,0.00011210762331838599,0.0011210762331838602,0.0112107623318386,2.23,0,30,2.0,1330.0
146,0.00277777777777778,0.00416666666666667,0.0,1.8,5,50,5.0,1777.0
28,0.0,0.0980392156862745,0.009803921568627449,3.06,5,20,1.0,1292.0
40,0.00011173184357541901,0.11173184357541902,0.00111731843575419,1.79,15,30,0.0,2199.0
114,0.00010499999999999999,0.004200000000000001,0.00010499999999999999,2.38095238095238,17,25,0.2,2076.48000058533
25,9.80392156862745e-05,0.000980392156862745,0.009803921568627449,2.55,0,20,2.0,996.0
23,0.009803921568627449,9.80392156862745e-05,0.0980392156862745,2.04,0,20,1.0,726.0
